watchlist_id,watch_type,entity_id,risk_level,action,reason_code,reason_description,status,effective_from,reported_by,reported_source,country,city
wl000022,CARD,<MASKED_CARD_NUMBER>,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:03:00,AML Team,AML,India,Delhi
wl000023,CARD,<MASKED_CARD_NUMBER>,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:04:00,Customer Care,CRM,India,Pune
wl000024,CARD,<MASKED_CARD_NUMBER>,medium,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:05:00,AML Team,External Feed,India,Bengaluru
wl000025,CARD,<MASKED_CARD_NUMBER>,medium,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:06:00,AML Team,External Feed,India,Mumbai
wl000026,CARD,<MASKED_CARD_NUMBER>,critical,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:07:00,SOC,AML,India,Mumbai
wl000027,CARD,<MASKED_CARD_NUMBER>,medium,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:12:00,AML Team,AML,India,Pune
wl000028,CARD,<MASKED_CARD_NUMBER>,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:21:00,SOC,CRM,India,Delhi
wl000029,CARD,<MASKED_CARD_NUMBER>,medium,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:24:00,AML Team,External Feed,India,Chennai
wl000030,CARD,<MASKED_CARD_NUMBER>,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:27:00,Fraud Team,Manual,India,Hyderabad
wl000031,CARD,<MASKED_CARD_NUMBER>,medium,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:30:00,AML Team,Manual,India,Bengaluru
wl000032,CARD,<MASKED_CARD_NUMBER>,medium,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:34:00,SOC,CRM,India,Chennai
wl000033,CARD,<MASKED_CARD_NUMBER>,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:36:00,SOC,Manual,India,Mumbai
wl000034,CARD,<MASKED_CARD_NUMBER>,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:40:00,Customer Care,Manual,India,Pune
wl000035,CARD,<MASKED_CARD_NUMBER>,medium,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:48:00,Fraud Team,CRM,India,Pune
wl000036,CARD,<MASKED_CARD_NUMBER>,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:51:00,SOC,Manual,India,Bengaluru
wl000037,CARD,<MASKED_CARD_NUMBER>,medium,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:53:00,AML Team,AML,India,Delhi
wl000038,CARD,<MASKED_CARD_NUMBER>,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:54:00,Customer Care,External Feed,India,Mumbai
wl000039,CARD,<MASKED_CARD_NUMBER>,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:55:00,AML Team,Manual,India,Pune
wl000040,CARD,<MASKED_CARD_NUMBER>,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 10:59:00,Customer Care,CRM,India,Pune
wl000041,CARD,<MASKED_CARD_008>,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:01:00,Customer Care,AML,India,Bengaluru
wl000042,CARD,<MASKED_CARD_NUMBER>,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:02:00,Customer Care,Manual,India,Delhi
wl000043,CARD,<MASKED_CARD_NUMBER>,critical,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:03:00,Fraud Team,AML,India,Pune
wl000044,CARD,<MASKED_CARD_NUMBER>,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:09:00,SOC,AML,India,Delhi
wl000045,CARD,<MASKED_CARD_NUMBER>,medium,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:11:00,AML Team,External Feed,India,Hyderabad
wl000046,CARD,<MASKED_CARD_NUMBER>,low,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:12:00,Fraud Team,CRM,India,Pune
wl000047,CARD,<MASKED_CARD_NUMBER>,medium,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:13:00,Customer Care,AML,India,Hyderabad
wl000048,CARD,<MASKED_CARD_NUMBER>,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:20:00,Customer Care,Manual,India,Bengaluru
wl000049,CARD,<MASKED_CARD_NUMBER>,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:21:00,Fraud Team,CRM,India,Hyderabad
wl000050,CARD,<MASKED_CARD_NUMBER>,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:25:00,Fraud Team,AML,India,Delhi
wl000051,CARD,<MASKED_CARD_003>,low,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:27:00,Fraud Team,AML,India,Delhi
wl000052,CARD,<MASKED_CARD_NUMBER>,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:29:00,Fraud Team,CRM,India,Delhi
wl000053,CARD,<MASKED_CARD_NUMBER>,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:30:00,SOC,AML,India,Mumbai
wl000054,CARD,<MASKED_CARD_NUMBER>,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:41:00,Fraud Team,CRM,India,Chennai
wl000055,CARD,<MASKED_CARD_NUMBER>,critical,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:44:00,Fraud Team,Manual,India,Delhi
wl000056,CARD,<MASKED_CARD_NUMBER>,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:46:00,Fraud Team,Manual,India,Hyderabad
wl000057,CARD,<MASKED_CARD_NUMBER>,medium,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:50:00,SOC,AML,India,Bengaluru
wl000058,CARD,<MASKED_CARD_NUMBER>,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:51:00,AML Team,CRM,India,Pune
wl000059,CARD,<MASKED_CARD_NUMBER>,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:54:00,Customer Care,AML,India,Hyderabad
wl000060,CARD,<MASKED_CARD_NUMBER>,high,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:55:00,AML Team,CRM,India,Pune
wl000061,CARD,<MASKED_CARD_NUMBER>,low,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 11:56:00,Fraud Team,External Feed,India,Mumbai
wl000062,CARD,<MASKED_CARD_NUMBER>,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:01:00,Customer Care,External Feed,India,Delhi
wl000063,CARD,<MASKED_CARD_NUMBER>,critical,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:03:00,Customer Care,CRM,India,Bengaluru
wl000064,CARD,<MASKED_CARD_NUMBER>,high,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:08:00,SOC,Manual,India,Chennai
wl000065,CARD,<MASKED_CARD_NUMBER>,medium,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:09:00,AML Team,CRM,India,Hyderabad
wl000066,CARD,<MASKED_CARD_NUMBER>,critical,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:10:00,Fraud Team,Manual,India,Mumbai
wl000067,CARD,<MASKED_CARD_NUMBER>,medium,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:11:00,Customer Care,AML,India,Hyderabad
wl000068,CARD,<MASKED_CARD_NUMBER>,low,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:25:00,AML Team,External Feed,India,Hyderabad
wl000069,CARD,<MASKED_CARD_NUMBER>,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:31:00,AML Team,CRM,India,Chennai
wl000070,CARD,<MASKED_CARD_011>,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:35:00,Fraud Team,AML,India,Bengaluru
wl000071,CARD,<MASKED_CARD_NUMBER>,low,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:36:00,AML Team,AML,India,Hyderabad
wl000072,CARD,<MASKED_CARD_NUMBER>,critical,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:40:00,Customer Care,External Feed,India,Bengaluru
wl000073,CARD,<MASKED_CARD_NUMBER>,critical,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:41:00,Customer Care,CRM,India,Bengaluru
wl000074,CARD,<MASKED_CARD_NUMBER>,critical,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:45:00,SOC,AML,India,Pune
wl000075,CARD,<MASKED_CARD_NUMBER>,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:50:00,Customer Care,Manual,India,Chennai
wl000076,CARD,<MASKED_CARD_NUMBER>,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:53:00,AML Team,AML,India,Bengaluru
wl000077,CARD,<MASKED_CARD_NUMBER>,critical,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 12:59:00,AML Team,External Feed,India,Delhi
wl000078,CARD,<MASKED_CARD_NUMBER>,critical,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:01:00,Fraud Team,CRM,India,Mumbai
wl000079,CARD,<MASKED_CARD_NUMBER>,critical,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:02:00,Customer Care,Manual,India,Mumbai
wl000080,CARD,<MASKED_CARD_NUMBER>,low,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:08:00,Fraud Team,AML,India,Delhi
wl000081,CARD,<MASKED_CARD_NUMBER>,medium,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:09:00,SOC,External Feed,India,Chennai
wl000082,CARD,<MASKED_CARD_NUMBER>,critical,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:10:00,Fraud Team,Manual,India,Mumbai
wl000083,CARD,<MASKED_CARD_NUMBER>,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:11:00,SOC,CRM,India,Chennai
wl000084,CARD,<MASKED_CARD_NUMBER>,critical,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:13:00,AML Team,CRM,India,Chennai
wl000085,CARD,<MASKED_CARD_NUMBER>,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:15:00,Customer Care,CRM,India,Chennai
wl000086,CARD,<MASKED_CARD_NUMBER>,medium,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:18:00,AML Team,External Feed,India,Mumbai
wl000087,CARD,<MASKED_CARD_NUMBER>,critical,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:20:00,Customer Care,Manual,India,Pune
wl000088,CARD,<MASKED_CARD_NUMBER>,medium,ADD,TEST_TRANSACTION,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:22:00,Customer Care,Manual,India,Bengaluru
wl000089,CARD,<MASKED_CARD_NUMBER>,low,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:24:00,AML Team,Manual,India,Delhi
wl000090,CARD,<MASKED_CARD_NUMBER>,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:33:00,Fraud Team,CRM,India,Mumbai
wl000091,CARD,<MASKED_CARD_NUMBER>,high,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:36:00,AML Team,External Feed,India,Bengaluru
wl000092,CARD,<MASKED_CARD_NUMBER>,low,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:37:00,Fraud Team,AML,India,Hyderabad
wl000093,CARD,<MASKED_CARD_NUMBER>,low,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:44:00,Customer Care,CRM,India,Mumbai
wl000094,CARD,<MASKED_CARD_NUMBER>,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:47:00,AML Team,AML,India,Bengaluru
wl000095,CARD,<MASKED_CARD_NUMBER>,high,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:48:00,AML Team,Manual,India,Mumbai
wl000096,CARD,<MASKED_CARD_NUMBER>,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:50:00,Customer Care,Manual,India,Hyderabad
wl000097,CARD,<MASKED_CARD_NUMBER>,medium,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:51:00,AML Team,External Feed,India,Bengaluru
wl000098,CARD,<MASKED_CARD_NUMBER>,critical,ADD,BLACKLISTED_MERCHANT,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:54:00,AML Team,CRM,India,Mumbai
wl000099,CARD,<MASKED_CARD_NUMBER>,low,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:55:00,AML Team,AML,India,Pune
wl000100,CARD,<MASKED_CARD_NUMBER>,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:58:00,Fraud Team,CRM,India,Hyderabad
wl000101,CARD,<MASKED_CARD_NUMBER>,critical,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 13:59:00,SOC,Manual,India,Pune
wl000102,CARD,<MASKED_CARD_NUMBER>,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:01:00,SOC,AML,India,Hyderabad
wl000103,CARD,<MASKED_CARD_NUMBER>,critical,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:04:00,SOC,AML,India,Pune
wl000104,CARD,<MASKED_CARD_NUMBER>,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:08:00,Fraud Team,CRM,India,Pune
wl000105,CARD,<MASKED_CARD_NUMBER>,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:11:00,Fraud Team,External Feed,India,Chennai
wl000106,CARD,<MASKED_CARD_NUMBER>,high,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:13:00,Fraud Team,AML,India,Chennai
wl000107,CARD,<MASKED_CARD_NUMBER>,critical,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:19:00,Customer Care,CRM,India,Pune
wl000108,CARD,<MASKED_CARD_NUMBER>,low,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:20:00,SOC,External Feed,India,Pune
wl000109,CARD,<MASKED_CARD_NUMBER>,medium,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:24:00,Fraud Team,Manual,India,Delhi
wl000110,CARD,<MASKED_CARD_NUMBER>,medium,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:26:00,Customer Care,Manual,India,Bengaluru
wl000111,CARD,<MASKED_CARD_NUMBER>,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:28:00,Fraud Team,External Feed,India,Hyderabad
wl000112,CARD,<MASKED_CARD_NUMBER>,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:30:00,AML Team,CRM,India,Bengaluru
wl000113,CARD,<MASKED_CARD_NUMBER>,critical,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:31:00,Customer Care,CRM,India,Pune
wl000114,CARD,<MASKED_CARD_NUMBER>,high,ADD,SUSPICIOUS_ACTIVITY,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:32:00,SOC,External Feed,India,Pune
wl000115,CARD,<MASKED_CARD_NUMBER>,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:35:00,AML Team,CRM,India,Delhi
wl000116,CARD,<MASKED_CARD_NUMBER>,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:40:00,SOC,External Feed,India,Bengaluru
wl000117,CARD,<MASKED_CARD_NUMBER>,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:41:00,SOC,AML,India,Mumbai
wl000118,CARD,<MASKED_CARD_NUMBER>,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:46:00,Customer Care,Manual,India,Delhi
wl000119,CARD,<MASKED_CARD_NUMBER>,medium,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:47:00,AML Team,CRM,India,Chennai
wl000120,CARD,<MASKED_CARD_NUMBER>,high,ADD,LOST_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:48:00,Customer Care,External Feed,India,Hyderabad
wl000121,CARD,<MASKED_CARD_NUMBER>,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:51:00,Customer Care,External Feed,India,Pune
wl000122,CARD,<MASKED_CARD_NUMBER>,low,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:54:00,Fraud Team,External Feed,India,Mumbai
wl000123,CARD,<MASKED_CARD_NUMBER>,high,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:56:00,AML Team,External Feed,India,Hyderabad
wl000124,CARD,<MASKED_CARD_NUMBER>,medium,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:57:00,Fraud Team,Manual,India,Pune
wl000125,CARD,<MASKED_CARD_NUMBER>,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:58:00,Fraud Team,AML,India,Pune
wl000126,CARD,<MASKED_CARD_NUMBER>,medium,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 14:59:00,SOC,AML,India,Delhi
wl000127,CARD,<MASKED_CARD_NUMBER>,medium,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:01:00,Fraud Team,AML,India,Bengaluru
wl000128,CARD,<MASKED_CARD_NUMBER>,high,ADD,STOLEN_CARD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:02:00,Customer Care,AML,India,Pune
wl000129,CARD,<MASKED_CARD_NUMBER>,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:08:00,Customer Care,CRM,India,Chennai
wl000130,CARD,<MASKED_CARD_NUMBER>,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:13:00,SOC,AML,India,Hyderabad
wl000131,CARD,<MASKED_CARD_NUMBER>,high,ADD,COMPROMISED_DEVICE,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:18:00,AML Team,CRM,India,Delhi
wl000132,CARD,<MASKED_CARD_NUMBER>,high,ADD,ACCOUNT_TAKEOVER,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:23:00,Customer Care,CRM,India,Chennai
wl000133,CARD,<MASKED_CARD_NUMBER>,low,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:30:00,AML Team,Manual,India,Pune
wl000134,CARD,<MASKED_CARD_NUMBER>,critical,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:31:00,Customer Care,AML,India,Bengaluru
wl000135,CARD,<MASKED_CARD_NUMBER>,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:33:00,SOC,CRM,India,Delhi
wl000136,CARD,<MASKED_CARD_NUMBER>,medium,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:39:00,Customer Care,AML,India,Hyderabad
wl000137,CARD,<MASKED_CARD_NUMBER>,medium,ADD,MONEY_LAUNDERING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:42:00,SOC,External Feed,India,Hyderabad
wl000138,CARD,<MASKED_CARD_NUMBER>,high,ADD,PHISHING,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:44:00,Fraud Team,CRM,India,Pune
wl000139,CARD,<MASKED_CARD_NUMBER>,critical,ADD,VELOCITY_FRAUD,Auto-generated fraud watchlist entry,ACTIVE,18-Jun-2026 15:48:00,Customer Care,AML,India,Hyderabad
